City,Covid Cases
Tuensang,2804.289864
Lakshmeshwar,2748.864326
Zira,2659.879946
Yawal,2520.374386
Thana Bhawan,2992.185377
Ramdurg,3040.935208
Pulgaon,1566.392665
Sadasivpet,2748.719886
Nargund,2723.310052
Neem-Ka-Thana,2196.099429
Memari,2748.478904
Nilanga,1358.792031
Naharlagun,2855.224344
Pakaur,3083.760808
Wai,1816.139885
Tarikere,3256.253441
Malavalli,2806.570532
Raisen,2846.796755
Lahar,2802.217743
Uravakonda,3426.149133
Savanur,2775.065078
Sirohi,2594.340507
Udhampur,2948.511183
Umarga,3122.152703
Pratapgarh,2300.856063
Lingsugur,2871.479705
Usilampatti,3100.441581
Palia Kalan,2005.932762
Wokha,2710.009136
Rajpipla,2757.31505
Vijayapura,2646.699556
Rawatbhata,2604.594938
Sangaria,2445.296203
Paithan,2190.575246
Rahuri,2904.194087
Patti,2662.579318
Zaidpur,2651.279355
Lalsot,2447.919716
Maihar,3187.739207
Degana,2235.144408
Vedaranyam,2552.658237
Nawapur,1709.552569
Solan,3043.600539
Vapi,2595.323752
Almora,2668.087202
Sanawad,2717.241346
Warisaliganj,2693.776933
Revelganj,2923.009069
Sabalgarh,2691.115162
Tuljapur,1990.592665
Simdega,2832.373191
Musabani,4088.557212
Kodungallur,3370.533791
Phulabani,3047.754688
Umreth,2462.397077
Narsipatnam,3230.128648
Nautanwa,2494.814655
Rajgir,2797.342521
Yellandu,2754.85788
Sathyamangalam,2735.826734
Pilibanga,2309.94931
Morshi,2324.824167
Pehowa,2354.01993
Sonepur,2913.309069
Pappinisseri,3764.278312
Zamania,2529.036264
Mihijam,2900.126497
Purna,1937.741913
"Shikarpur, Bulandshahr",2502.315225
Umaria,2676.800634
Porsa,2867.402457
Naugawan Sadat,3036.054166
Faizabad,1730.70197
Manuguru,3388.075217
Ellenabad,2554.357452
Udaipur,2883.040325
Pipar City,2417.030996
Nanjikottai,5236.75649
Taranagar,2432.664898
Yerraguntla,4146.892601
Satana,2350.89946
Sherghati,2853.577567
Sankeshwara,2960.22111
Madikeri,2775.098411
Thuraiyur,3846.543659
Sanand,2490.090709
Rajula,2709.835257
Kyathampalle,4083.628373
"Shahabad, Rampur",3013.187016
Tilda Newra,3132.199064
Narsinghgarh,2876.897327
Chittur-Thathamangalam,3235.450458
Malaj Khand,2739.519329
Sarangpur,2822.411748
Robertsganj,2724.160095
Sirkali,2849.423884
Radhanpur,2587.156207
Tiruchendur,2738.323884
Utraula,2708.782026
Patratu,3872.232989
"Vijainagar, Ajmer",2681.028405
Periyasemur,2757.109315
Pathri,2177.959332
Sadabad,2222.006475
Talikota,2888.129955
Sinnar,1966.770547
Mungeli,3022.518693
Sedam,2839.572257
Shikaripur,2906.08817
Sumerpur,2140.915977
Sattur,3995.025997
Sugauli,3009.119906
Lumding,2876.502295
Vandavasi,3397.876837
Titlagarh,3089.02574
Uchgaon,2899.940953
Mokokchung,3015.652965
Paschim Punropara,4387.480735
Sagwara,2758.989948
Ramganj Mandi,2475.865478
Tarakeswar,2885.746768
